"Season","Player_URL","comp_name","region","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro"
"2019","https://www.transfermarkt.com/andre-silva/profil/spieler/198008","Bundesliga","Europe","Germany",2019,"Eintracht Frankfurt","33","André Silva","Centre-Forward",1995-11-06,24,"Portugal","SV Werder Bremen","1.86","right","2020-09-10","AC Milan",NA,1.6e+07
"2019","https://www.transfermarkt.com/jerome-roussillon/profil/spieler/127076","Bundesliga","Europe","Germany",2019,"VfL Wolfsburg","15","Jérôme Roussillon","Left-Back",1993-01-06,27,"Guadeloupe","1.FC Union Berlin","1.75","left","2018-08-06","Montpellier HSC",NA,1.6e+07
"2019","https://www.transfermarkt.com/luca-waldschmidt/profil/spieler/196095","Bundesliga","Europe","Germany",2019,"SC Freiburg","11","Luca Waldschmidt","Centre-Forward",1996-05-19,24,"Germany","1.FC Köln","1.81","left","2018-07-01","Hamburger SV",NA,1.6e+07
"2019","https://www.transfermarkt.com/nadiem-amiri/profil/spieler/232454","Bundesliga","Europe","Germany",2019,"Bayer 04 Leverkusen","11","Nadiem Amiri","Central Midfield",1996-10-27,23,"Germany","1.FSV Mainz 05","1.8","right","2019-07-30","TSG 1899 Hoffenheim",NA,1.6e+07
"2019","https://www.transfermarkt.com/nico-schulz/profil/spieler/85867","Bundesliga","Europe","Germany",2019,"Borussia Dortmund","14","Nico Schulz","Left-Back",1993-04-01,27,"Germany","MKE Ankaragücü","1.8","left","2019-07-01","TSG 1899 Hoffenheim",NA,1.6e+07
"2019","https://www.transfermarkt.com/niklas-stark/profil/spieler/162434","Bundesliga","Europe","Germany",2019,"Hertha BSC","5","Niklas Stark","Centre-Back",1995-04-14,25,"Germany","SV Werder Bremen","1.9","right","2015-08-24","1.FC Nuremberg",NA,1.6e+07
"2019","https://www.transfermarkt.com/renato-sanches/profil/spieler/258027","Bundesliga","Europe","Germany",2019,"Bayern Munich","35","Renato Sanches","Central Midfield",1997-08-18,22,"Portugal","SL Benfica","1.76","right","2016-07-01","SL Benfica",NA,1.6e+07
"2019","https://www.transfermarkt.com/willi-orban/profil/spieler/93740","Bundesliga","Europe","Germany",2019,"RB Leipzig","4","Willi Orbán","Centre-Back",1992-11-03,27,"Hungary","RB Leipzig","1.86","right","2015-07-01","1.FC Kaiserslautern",NA,1.6e+07
"2019","https://www.transfermarkt.com/amadou-haidara/profil/spieler/402008","Bundesliga","Europe","Germany",2019,"RB Leipzig","8","Amadou Haidara","Central Midfield",1998-01-31,22,"Mali","RB Leipzig","1.78","right","2019-01-01","Red Bull Salzburg",NA,15500000
"2019","https://www.transfermarkt.com/arne-maier/profil/spieler/296397","Bundesliga","Europe","Germany",2019,"Hertha BSC","23","Arne Maier","Central Midfield",1999-01-08,21,"Germany","FC Augsburg","1.86","right","2017-07-01","Hertha BSC U19",NA,15500000
